ID,Datetime,Year,Month,Day,Hour,Text,Similar,Sentiment,Score,Latitude,Longitude,Fire
0,01/06/2017,2017,6,1,21,novo incendio em beja serpa brinches httpstcorybwv9kfqd fogospt,0,negative,0.73048687,38.0360599,-7.6045022,TRUE
1,01/06/2017,2017,6,1,21,novo incendio em evora reguengos de monsaraz corval httpstcogikj4hv7pa fogospt,0,negative,0.764282584,38.45181115,-7.478369503,TRUE
2,01/06/2017,2017,6,1,20,novo incendio em porto amarante olo canadelo httpstcoc3qz8xt6lk fogospt,0,negative,0.766779721,41.29870675,-8.000597904,TRUE
3,01/06/2017,2017,6,1,19,novo incendio em lisboa loures sacavem prior velho httpstcojnj0ovqstq fogospt,0,negative,0.734421611,38.78916285,-9.12228233,TRUE
4,01/06/2017,2017,6,1,19,novo incendio em braganca macedo de cavaleiros vinhas httpstcowbszrxlsyc fogospt,0,negative,0.839304566,41.5362124,-6.9560267,TRUE
5,01/06/2017,2017,6,1,19,novo incendio em santarem entroncamento sao joao baptista httpstcoey3tjny1up fogospt,0,negative,0.758963108,39.4652053,-8.466436277,TRUE
6,01/06/2017,2017,6,1,18,novo incendio em braganca torre de moncorvo torre de moncorvo httpstco1g1cicjkas fogospt,0,negative,0.775664389,41.1830197,-7.062466693,TRUE
7,01/06/2017,2017,6,1,17,novo incendio em viana do castelo viana do castelo geraz do lima smaria sleocadia moreira deao httpstcondfld6yyup fogospt,0,negative,0.725743055,41.7030034,-8.6674105,TRUE
8,01/06/2017,2017,6,1,17,novo incendio em lisboa sintra massama monte abraao httpstcostdykbhpu7 fogospt,0,negative,0.800819218,38.75823225,-9.266679901,TRUE
9,01/06/2017,2017,6,1,17,novo incendio em beja serpa vila nova de sao bento vale de vargo httpstcotjhoqqrbix fogospt,0,negative,0.761204004,37.9266609,-7.4099588,TRUE
10,01/06/2017,2017,6,1,16,novo incendio em porto santo tirso monte cordova httpstcoqvlkfrjxts fogospt,0,negative,0.784815788,41.3164414,-8.4320306,TRUE
11,01/06/2017,2017,6,1,16,novo incendio em beja aljustrel ervidel httpstcotadgylw8im fogospt,0,negative,0.697426558,37.89032505,-8.196352126,TRUE
12,01/06/2017,2017,6,1,16,novo incendio em lisboa cascais sao domingos de rana httpstcosqsyu4dhwl fogospt,0,negative,0.822952807,38.72240025,-9.396909172,TRUE
13,01/06/2017,2017,6,1,15,novo incendio em braga cabeceiras de basto cavez httpstco5y16xijhuv fogospt,0,negative,0.717864454,41.5136392,-7.9878132,TRUE
14,01/06/2017,2017,6,1,15,novo incendio em santarem alcanena minde httpstcom6bxcjogdu fogospt,0,negative,0.72088325,39.4806183,-8.682349881,TRUE
