,Datetime,Year,Month,Day,Hour,Text,Similar,Sentiment,Score,Latitude,Longitude,Fire
0,2017-06-01,2017,6,1,21,novo incendio em beja serpa brinches httpstcorybwv9kfqd fogospt,0,negative,0.7304868698120117,38.0360599,-7.6045022,True
1,2017-06-01,2017,6,1,21,novo incendio em evora reguengos de monsaraz corval httpstcogikj4hv7pa fogospt,0,negative,0.7642825841903687,38.45181115,-7.478369503126434,True
2,2017-06-01,2017,6,1,20,novo incendio em porto amarante olo canadelo httpstcoc3qz8xt6lk fogospt,0,negative,0.7667797207832336,41.29870675,-8.000597903610371,True
3,2017-06-01,2017,6,1,19,novo incendio em lisboa loures sacavem prior velho httpstcojnj0ovqstq fogospt,0,negative,0.7344216108322144,38.78916285,-9.12228232981158,True
4,2017-06-01,2017,6,1,19,novo incendio em braganca macedo de cavaleiros vinhas httpstcowbszrxlsyc fogospt,0,negative,0.8393045663833618,41.5362124,-6.9560267,True
5,2017-06-01,2017,6,1,19,novo incendio em santarem entroncamento sao joao baptista httpstcoey3tjny1up fogospt,0,negative,0.7589631080627441,39.4652053,-8.466436276630382,True
6,2017-06-01,2017,6,1,18,novo incendio em braganca torre de moncorvo torre de moncorvo httpstco1g1cicjkas fogospt,0,negative,0.7756643891334534,41.1830197,-7.062466693362778,True
7,2017-06-01,2017,6,1,17,novo incendio em viana do castelo viana do castelo geraz do lima smaria sleocadia moreira deao httpstcondfld6yyup fogospt,0,negative,0.7257430553436279,41.7030034,-8.6674105,True
8,2017-06-01,2017,6,1,17,novo incendio em lisboa sintra massama monte abraao httpstcostdykbhpu7 fogospt,0,negative,0.8008192181587219,38.75823225,-9.266679900628509,True
9,2017-06-01,2017,6,1,17,novo incendio em beja serpa vila nova de sao bento vale de vargo httpstcotjhoqqrbix fogospt,0,negative,0.7612040042877197,37.9266609,-7.4099588,True
10,2017-06-01,2017,6,1,16,novo incendio em porto santo tirso monte cordova httpstcoqvlkfrjxts fogospt,0,negative,0.784815788269043,41.3164414,-8.4320306,True
11,2017-06-01,2017,6,1,16,novo incendio em beja aljustrel ervidel httpstcotadgylw8im fogospt,0,negative,0.6974265575408936,37.89032505,-8.196352126164136,True
